county	tsa	district	rac	phr
atascosa	TSA-P	San Antonio	Southwest Texas RAC	PHR-8
matagorda	TSA-Q	Yoakum	Southeast Texas	PHR-6/5s
jackson	TSA-S	Yoakum	Golden Crescent	PHR-8
de_witt	TSA-S	Yoakum	Golden Crescent	PHR-8
wilson	TSA-P	San Antonio	Southwest Texas RAC	PHR-8
kinney	TSA-P	Laredo	Southwest Texas RAC	PHR-8
uvalde	TSA-P	San Antonio	Southwest Texas RAC	PHR-8
lavaca	TSA-S	Yoakum	Golden Crescent	PHR-8
brazoria	TSA-R	Houston	East Texas Gulf Coast	PHR-6/5s
wharton	TSA-Q	Yoakum	Southeast Texas	PHR-6/5s
medina	TSA-P	San Antonio	Southwest Texas RAC	PHR-8
galveston	TSA-R	Houston	East Texas Gulf Coast	PHR-6/5s
bexar	TSA-P	San Antonio	Southwest Texas RAC	PHR-8
gonzales	TSA-P	Yoakum	Southwest Texas RAC	PHR-8
fort_bend	TSA-Q	Houston	Southeast Texas	PHR-6/5s
guadalupe	TSA-P	San Antonio	Southwest Texas RAC	PHR-8
bandera	TSA-P	San Antonio	Southwest Texas RAC	PHR-8
colorado	TSA-Q	Yoakum	Southeast Texas	PHR-6/5s
chambers	TSA-R	Beaumont	East Texas Gulf Coast	PHR-6/5s
comal	TSA-P	San Antonio	Southwest Texas RAC	PHR-8
real	TSA-P	San Angelo	Southwest Texas RAC	PHR-8
caldwell	TSA-O	Austin	Capital Area Trauma	PHR-7
kendall	TSA-P	San Antonio	Southwest Texas RAC	PHR-8
austin	TSA-Q	Yoakum	Southeast Texas	PHR-6/5s
fayette	TSA-O	Yoakum	Capital Area Trauma	PHR-7
harris	TSA-Q	Houston	Southeast Texas	PHR-6/5s
edwards	TSA-P	San Angelo	Southwest Texas RAC	PHR-8
kerr	TSA-P	San Antonio	Southwest Texas RAC	PHR-8
val_verde	TSA-P	Laredo	Southwest Texas RAC	PHR-8
waller	TSA-Q	Houston	Southeast Texas	PHR-6/5s
jefferson	TSA-R	Beaumont	East Texas Gulf Coast	PHR-6/5s
hays	TSA-O	Austin	Capital Area Trauma	PHR-7
cameron	TSA-V	Pharr	Lower Rio Grande Valley	PHR-11
willacy	TSA-V	Pharr	Lower Rio Grande Valley	PHR-11
